Transaction ID,Customer ID,Transaction Amount,Transaction Date,Complaint Description,Dispute Category
TXN58857090,CUST913875,45.57,2023-12-12,My refund of 45.57 was supposed to be processed within 7 business days but it has been over a month now.,Refund Not Processed
TXN73669065,CUST674993,953.54,2023-12-12,A merchant processed my payment of 953.54 multiple times due to a system error. I need all duplicate charges reversed.,Duplicate Charge
TXN42025663,CUST972064,48.39,2023-12-12,I made a single purchase of 48.39 but was billed twice. The duplicate charge needs to be reversed immediately.,Duplicate Charge
TXN20051864,CUST915809,2423.94,2023-12-12,"I was billed 2,423.94 for a service upgrade I never requested or agreed to.",Merchant Billing Error
TXN54117415,CUST976638,290.45,2023-12-12,I received an alert about a 290.45 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN29617586,CUST334053,37.82,2023-12-12,I was charged 37.82 for a late fee that is not justified as I made my payment on time.,Merchant Billing Error
TXN45196151,CUST682144,157.93,2023-12-12,I was promised a refund of 157.93 by the merchant but it has been over 30 days and nothing has been credited.,Refund Not Processed
TXN22029742,CUST429164,111.1,2023-12-13,Someone used my card information to make a purchase of 111.10. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN54649538,CUST415098,469.9,2023-12-13,I downgraded my plan but was still charged the old rate of 469.90 instead of the reduced amount.,Subscription Issue
TXN34918714,CUST643623,194.87,2023-12-13,I was promised a refund of 194.87 by the merchant but it has been over 30 days and nothing has been credited.,Refund Not Processed
TXN12141515,CUST207581,1126.61,2023-12-13,"I see a duplicate debit of 1,126.61 on my statement for the same purchase. I have contacted the merchant but they have not responded.",Duplicate Charge
TXN90449200,CUST814827,126.16,2023-12-13,I am being charged 126.16 monthly for a service I cancelled three months ago. Please stop these recurring payments.,Subscription Issue
TXN96651620,CUST881667,71.08,2023-12-13,An unauthorized payment of 71.08 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN90351910,CUST757924,8.58,2023-12-13,I cancelled my free trial before it ended but was charged 8.58 for the full subscription anyway.,Subscription Issue
TXN13053458,CUST496922,474.1,2023-12-13,The merchant took 474.10 from my account for a pre-order but has gone silent and the product was never shipped.,Product/Service Not Received
TXN37341878,CUST381502,181.86,2023-12-13,A subscription I never signed up for is charging my account 181.86 every month. I need all charges reversed.,Subscription Issue
TXN90465529,CUST306854,84.76,2023-12-14,The product worth 84.76 stopped working within 2 days of purchase. The merchant denied my warranty claim.,Defective Product/Service
TXN82407098,CUST387813,416.76,2023-12-14,I did not authorize a charge of 416.76 on 2023-12-14. I have never used this merchant before and suspect my card was compromised.,Unauthorized Transaction
TXN96579145,CUST912609,249.92,2023-12-14,My card was used without authorization for a transaction of 249.92. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN85731046,CUST153945,32.39,2023-12-14,I was double-charged 32.39 for a subscription renewal. The service should only bill once per month.,Duplicate Charge
TXN53466957,CUST359947,44.03,2023-12-14,My card was used without authorization for a transaction of 44.03. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN23346724,CUST378535,17.67,2023-12-14,My card was used without authorization for a transaction of 17.67. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN82595570,CUST531641,178.64,2023-12-14,The merchant charged 178.64 to my card after I specifically asked them to use a different payment method.,Merchant Billing Error
TXN61343139,CUST801474,310.59,2023-12-14,My account was debited 310.59 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
TXN35979617,CUST563864,17.18,2023-12-14,I paid 17.18 for a product that does not match the specifications listed on the merchant website at all.,Defective Product/Service
TXN56113991,CUST219946,1405.46,2023-12-15,"The merchant took 1,405.46 from my account for a pre-order but has gone silent and the product was never shipped.",Product/Service Not Received
TXN15303441,CUST448048,46.51,2023-12-15,I was charged 46.51 for an annual renewal that I had opted out of. The merchant is ignoring my cancellation.,Subscription Issue
TXN67001939,CUST399105,23.79,2023-12-15,I paid 23.79 for an order on 2023-12-15 but never received the product. The merchant is unresponsive to my emails.,Product/Service Not Received
TXN62443742,CUST470858,87.31,2023-12-15,The merchant charged my card 87.31 two times for one order. I have the receipt showing only one transaction.,Duplicate Charge
TXN22896852,CUST292811,137.25,2023-12-15,The merchant charged 137.25 but applied the wrong exchange rate for my international purchase.,Wrong Amount
TXN70291054,CUST762423,13673.03,2023-12-16,"An unauthorized payment of 13,673.03 appeared on my statement. I have never visited this merchant or authorized any payment to them.",Unauthorized Transaction
TXN48141360,CUST763829,239.39,2023-12-16,I received an alert about a 239.39 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN28824809,CUST386544,1762.35,2023-12-16,"I downgraded my plan but was still charged the old rate of 1,762.35 instead of the reduced amount.",Subscription Issue
TXN79654067,CUST103642,295.25,2023-12-16,The merchant charged 295.25 as a restocking fee which was never disclosed at the time of purchase.,Merchant Billing Error
TXN96144415,CUST194682,144.66,2023-12-16,There is an unrecognized charge of 144.66 on my account dated 2023-12-16. I did not approve this and want it disputed.,Unauthorized Transaction
TXN28199754,CUST532424,106.91,2023-12-16,I have a written confirmation from the merchant that 106.91 would be refunded but my account still shows the charge.,Refund Not Processed
TXN52073858,CUST874661,6902.86,2023-12-16,"Someone used my card information to make a purchase of 6,902.86. I need this reversed and a new card issued immediately.",Unauthorized Transaction
TXN28991936,CUST711680,151.69,2023-12-16,I paid 151.69 for a subscription service but never received access. The company has not responded to my support tickets.,Product/Service Not Received
TXN32721053,CUST877747,166.96,2023-12-16,There is an unrecognized charge of 166.96 on my account dated 2023-12-16. I did not approve this and want it disputed.,Unauthorized Transaction
TXN52518752,CUST883041,41.47,2023-12-16,The merchant took 41.47 from my account for a pre-order but has gone silent and the product was never shipped.,Product/Service Not Received
TXN17299432,CUST336828,136.44,2023-12-16,I received a defective product after paying 136.44. The merchant refused my return request and will not issue a refund.,Defective Product/Service
TXN28302557,CUST140115,31.76,2023-12-16,I was charged 31.76 twice for the same purchase at the same merchant on 2023-12-16. Please reverse the duplicate charge.,Duplicate Charge
TXN56344116,CUST621691,993.03,2023-12-16,I see a duplicate debit of 993.03 on my statement for the same purchase. I have contacted the merchant but they have not responded.,Duplicate Charge
TXN67876008,CUST485397,13.02,2023-12-16,A merchant processed my payment of 13.02 multiple times due to a system error. I need all duplicate charges reversed.,Duplicate Charge
TXN26300293,CUST898867,87.92,2023-12-16,The service I paid 87.92 for was not performed as agreed. The quality was far below what was promised.,Defective Product/Service
TXN50946121,CUST490748,41.43,2023-12-17,An ATM debited 41.43 from my account but the screen showed a transaction failed message and no cash was given.,ATM Dispute
TXN16280294,CUST819796,68.62,2023-12-17,I was billed 68.62 for a digital download that I never received the link for. The merchant website is now offline.,Product/Service Not Received
TXN27806084,CUST512022,3073.64,2023-12-17,"An unauthorized payment of 3,073.64 appeared on my statement. I have never visited this merchant or authorized any payment to them.",Unauthorized Transaction
TXN32581930,CUST723398,382.4,2023-12-17,My card was used without authorization for a transaction of 382.40. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN12305350,CUST571579,451.03,2023-12-17,I did not authorize a charge of 451.03 on 2023-12-17. I have never used this merchant before and suspect my card was compromised.,Unauthorized Transaction
TXN57684613,CUST975686,477.47,2023-12-17,The product costing 477.47 arrived with missing parts and the merchant wants me to pay extra for replacements.,Defective Product/Service
TXN77456072,CUST982495,197.1,2023-12-17,I received an alert about a 197.10 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN28698594,CUST260295,194.23,2023-12-17,I returned a product worth 194.23 on 2023-12-17 but the refund has not been credited to my account yet.,Refund Not Processed
TXN80616342,CUST206053,44.39,2023-12-17,Someone used my card information to make a purchase of 44.39. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN33763606,CUST519029,817.68,2023-12-17,The airline cancelled my flight and promised a refund of 817.68 but it has not been reflected in my account.,Refund Not Processed
TXN35592828,CUST207786,190.74,2023-12-17,I paid 190.74 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN20061481,CUST581141,45.66,2023-12-17,Someone used my card information to make a purchase of 45.66. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN44665129,CUST197992,756.1,2023-12-17,My refund of 756.10 was supposed to be processed within 7 business days but it has been over a month now.,Refund Not Processed
TXN81965066,CUST260626,13504.65,2023-12-18,"My account shows two identical charges of 13,504.65 from the same vendor. Only one transaction should have gone through.",Duplicate Charge
TXN13530859,CUST120324,127.34,2023-12-18,An unauthorized payment of 127.34 appeared on my statement. I have never visited this merchant or authorized any payment to them.,Unauthorized Transaction
TXN66342092,CUST797416,99.68,2023-12-18,I was billed 99.68 instead of the correct amount. The merchant added extra charges without my knowledge.,Wrong Amount
TXN76270221,CUST116093,35.75,2023-12-18,My account was charged 35.75 without my consent. I believe someone has stolen my card details and made this purchase.,Unauthorized Transaction
TXN11503931,CUST965401,958.45,2023-12-18,I paid 958.45 for a subscription service but never received access. The company has not responded to my support tickets.,Product/Service Not Received
TXN96672985,CUST915809,338.33,2023-12-18,The merchant increased my subscription from the original price to 338.33 without any prior notice or consent.,Subscription Issue
TXN54214545,CUST494747,113.53,2023-12-18,There is an unrecognized charge of 113.53 on my account dated 2023-12-18. I did not approve this and want it disputed.,Unauthorized Transaction
TXN12293930,CUST288066,176.79,2023-12-18,There is a fraudulent transaction of 176.79 on my account. I did not make this purchase and my card was in my possession the entire time.,Unauthorized Transaction
TXN23113963,CUST588461,934.14,2023-12-18,The transaction amount of 934.14 is incorrect. The actual bill was significantly less than what was debited.,Wrong Amount
TXN59570071,CUST826991,19.64,2023-12-18,I received an alert about a 19.64 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN16147399,CUST886931,239.17,2023-12-19,I paid 239.17 for a subscription service but never received access. The company has not responded to my support tickets.,Product/Service Not Received
TXN97011596,CUST130271,426.0,2023-12-19,I am being charged 426.00 monthly for a service I cancelled three months ago. Please stop these recurring payments.,Subscription Issue
TXN33572013,CUST623481,49.54,2023-12-19,I placed an order worth 49.54 on 2023-12-19 and the merchant confirmed it but nothing has been delivered so far.,Product/Service Not Received
TXN85779126,CUST969226,2374.96,2023-12-19,"There is an unrecognized charge of 2,374.96 on my account dated 2023-12-19. I did not approve this and want it disputed.",Unauthorized Transaction
TXN41709861,CUST215233,122.46,2023-12-19,I was charged 122.46 for a product that the merchant claims was shipped but I never received. No proof of delivery exists.,Product/Service Not Received
TXN49444647,CUST274446,801.88,2023-12-19,I was billed 801.88 for additional hotel charges that I did not incur or authorize during my stay.,Merchant Billing Error
TXN29670041,CUST900581,2048.85,2023-12-19,"The merchant took 2,048.85 from my account for a pre-order but has gone silent and the product was never shipped.",Product/Service Not Received
TXN71025700,CUST269930,1764.2,2023-12-19,"I cancelled my free trial before it ended but was charged 1,764.20 for the full subscription anyway.",Subscription Issue
TXN47999980,CUST980660,97.55,2023-12-19,A payment of 97.55 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN30712232,CUST179688,80.14,2023-12-19,I was charged 80.14 for a product that the merchant claims was shipped but I never received. No proof of delivery exists.,Product/Service Not Received
TXN63015826,CUST582087,35.74,2023-12-20,I made a single purchase of 35.74 but was billed twice. The duplicate charge needs to be reversed immediately.,Duplicate Charge
TXN15306750,CUST483366,48.01,2023-12-20,My card was used without authorization for a transaction of 48.01. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN22622868,CUST471106,184.07,2023-12-20,The transaction amount of 184.07 is incorrect. The actual bill was significantly less than what was debited.,Wrong Amount
TXN61277491,CUST686716,35.78,2023-12-20,There is an unrecognized charge of 35.78 on my account dated 2023-12-20. I did not approve this and want it disputed.,Unauthorized Transaction
TXN94833750,CUST722665,107.1,2023-12-20,I did not authorize a charge of 107.10 on 2023-12-20. I have never used this merchant before and suspect my card was compromised.,Unauthorized Transaction
TXN68984237,CUST982495,183.41,2023-12-20,I paid 183.41 for an order on 2023-12-20 but never received the product. The merchant is unresponsive to my emails.,Product/Service Not Received
TXN95295586,CUST811332,393.58,2023-12-21,I placed an order worth 393.58 on 2023-12-21 and the merchant confirmed it but nothing has been delivered so far.,Product/Service Not Received
TXN86129797,CUST267475,154.12,2023-12-21,The item I purchased for 154.12 is completely different from what was advertised. I want a full refund.,Defective Product/Service
TXN31055735,CUST251157,2741.81,2023-12-21,"I noticed an unauthorized debit of 2,741.81 from my account. I have no knowledge of this transaction and request an immediate reversal.",Unauthorized Transaction
TXN69151525,CUST757711,230.0,2023-12-21,I was billed 230.00 for additional hotel charges that I did not incur or authorize during my stay.,Merchant Billing Error
TXN68087047,CUST183074,499.69,2023-12-21,I have a written confirmation from the merchant that 499.69 would be refunded but my account still shows the charge.,Refund Not Processed
TXN33368852,CUST481913,173.93,2023-12-21,I found a fraudulent charge of 173.93 on my account from a merchant I have never heard of. Please investigate and refund.,Unauthorized Transaction
TXN30858205,CUST103717,13120.12,2023-12-21,"I was billed 13,120.12 for a digital download that I never received the link for. The merchant website is now offline.",Product/Service Not Received
TXN19581319,CUST626195,940.16,2023-12-21,A car rental company charged 940.16 for damages that existed before I rented the vehicle.,Merchant Billing Error
TXN83901796,CUST871711,141.49,2023-12-21,I received an alert about a 141.49 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN80703224,CUST535037,126.24,2023-12-21,My account was charged 126.24 without my consent. I believe someone has stolen my card details and made this purchase.,Unauthorized Transaction
TXN83333286,CUST781453,88.84,2023-12-21,My card was used without authorization for a transaction of 88.84. I suspect a data breach at a merchant I previously used.,Unauthorized Transaction
TXN87268086,CUST160423,8884.23,2023-12-22,"There is an unrecognized charge of 8,884.23 on my account dated 2023-12-22. I did not approve this and want it disputed.",Unauthorized Transaction
TXN70597948,CUST695164,700.27,2023-12-22,The product worth 700.27 stopped working within 2 days of purchase. The merchant denied my warranty claim.,Defective Product/Service
TXN18053170,CUST342675,381.26,2023-12-22,I paid 381.26 for an order on 2023-12-22 but never received the product. The merchant is unresponsive to my emails.,Product/Service Not Received
TXN67593155,CUST815198,3171.24,2023-12-22,"I was overcharged by the merchant. The correct amount should have been lower but 3,171.24 was taken from my account.",Wrong Amount
TXN51570260,CUST297303,1950.77,2023-12-22,"My account was debited 1,950.77 for goods that were supposed to arrive two weeks ago. I still have not received anything.",Product/Service Not Received
TXN16982290,CUST774565,188.56,2023-12-22,Someone used my card information to make a purchase of 188.56. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN40931972,CUST254864,38.38,2023-12-22,The transaction amount of 38.38 is incorrect. The actual bill was significantly less than what was debited.,Wrong Amount
TXN86813578,CUST168872,93.74,2023-12-22,I paid 93.74 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN29022620,CUST744481,1450.09,2023-12-22,"My card was used without authorization for a transaction of 1,450.09. I suspect a data breach at a merchant I previously used.",Unauthorized Transaction
TXN15892805,CUST643998,13.9,2023-12-23,I see a suspicious charge of 13.90 that I did not initiate. I was in a different city when this transaction occurred.,Unauthorized Transaction
TXN29554945,CUST402020,304.04,2023-12-23,I was charged 304.04 for a product that the merchant claims was shipped but I never received. No proof of delivery exists.,Product/Service Not Received
TXN64349413,CUST681478,8.28,2023-12-23,There is an unrecognized charge of 8.28 on my account dated 2023-12-23. I did not approve this and want it disputed.,Unauthorized Transaction
TXN58524020,CUST622707,8.27,2023-12-23,I withdrew 8.27 from an ATM but received less cash than the debited amount. The machine malfunctioned.,ATM Dispute
TXN30162541,CUST208529,47.56,2023-12-23,I purchased an item for 47.56 but received a counterfeit product. The merchant refuses to acknowledge the issue.,Defective Product/Service
TXN75042161,CUST662986,1831.2,2023-12-23,"I did not authorize a charge of 1,831.20 on 2023-12-23. I have never used this merchant before and suspect my card was compromised.",Unauthorized Transaction
TXN11613919,CUST807764,150.39,2023-12-23,Someone used my card information to make a purchase of 150.39. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN56003616,CUST414455,2637.7,2023-12-23,"The ATM ate my card and deducted 2,637.70 without dispensing any cash. I reported this to the bank branch immediately.",ATM Dispute
TXN28966208,CUST664739,151.86,2023-12-23,The airline cancelled my flight and promised a refund of 151.86 but it has not been reflected in my account.,Refund Not Processed
TXN63937850,CUST363626,46.39,2023-12-23,I am being charged 46.39 monthly for a service I cancelled three months ago. Please stop these recurring payments.,Subscription Issue
TXN71304112,CUST696856,7.25,2023-12-24,The merchant increased my subscription from the original price to 7.25 without any prior notice or consent.,Subscription Issue
TXN77441081,CUST204555,152.95,2023-12-24,The transaction amount of 152.95 is incorrect. The actual bill was significantly less than what was debited.,Wrong Amount
TXN47063466,CUST301939,690.84,2023-12-24,There is an unrecognized charge of 690.84 on my account dated 2023-12-24. I did not approve this and want it disputed.,Unauthorized Transaction
TXN63308339,CUST617488,3231.2,2023-12-24,"The merchant issued a refund receipt for 3,231.20 on 2023-12-24 but the amount never appeared in my account.",Refund Not Processed
TXN91979982,CUST400009,34.02,2023-12-24,I paid 34.02 for a subscription service but never received access. The company has not responded to my support tickets.,Product/Service Not Received
TXN10486611,CUST153945,31.81,2023-12-24,I attempted to withdraw 31.81 from an ATM. The machine gave an error but the money was deducted from my balance.,ATM Dispute
TXN89196559,CUST757685,272.9,2023-12-24,I noticed an unauthorized debit of 272.90 from my account. I have no knowledge of this transaction and request an immediate reversal.,Unauthorized Transaction
TXN61484985,CUST346961,94.23,2023-12-24,I paid 94.23 for a product that arrived damaged and unusable. The merchant is not responding to my return request.,Defective Product/Service
TXN68800040,CUST987025,284.82,2023-12-24,I was charged 284.82 for a gym membership cancellation fee that was not mentioned in the original contract.,Merchant Billing Error
TXN82011749,CUST863214,48.7,2023-12-24,I paid 48.70 for a product that arrived damaged and unusable. The merchant is not responding to my return request.,Defective Product/Service
TXN69550837,CUST935012,1563.52,2023-12-24,"I was double-charged 1,563.52 for a subscription renewal. The service should only bill once per month.",Duplicate Charge
TXN76892413,CUST597643,39.05,2023-12-24,Someone used my card information to make a purchase of 39.05. I need this reversed and a new card issued immediately.,Unauthorized Transaction
TXN98263946,CUST920391,6056.17,2023-12-24,"I was charged 6,056.17 for a late fee that is not justified as I made my payment on time.",Merchant Billing Error
TXN27358523,CUST530311,125.2,2023-12-24,A payment of 125.20 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN86434517,CUST379676,457.05,2023-12-25,I am being charged 457.05 monthly for a service I cancelled three months ago. Please stop these recurring payments.,Subscription Issue
TXN46983398,CUST235461,170.16,2023-12-25,My account was charged 170.16 without my consent. I believe someone has stolen my card details and made this purchase.,Unauthorized Transaction
TXN42226715,CUST565471,7.56,2023-12-25,The merchant charged 7.56 as a restocking fee which was never disclosed at the time of purchase.,Merchant Billing Error
TXN18758869,CUST970127,268.39,2023-12-25,I paid 268.39 for a subscription service but never received access. The company has not responded to my support tickets.,Product/Service Not Received
TXN96356746,CUST335552,31.87,2023-12-25,I was overcharged by the merchant. The correct amount should have been lower but 31.87 was taken from my account.,Wrong Amount
TXN21270822,CUST488528,1575.93,2023-12-25,"I have been charged 1,575.93 for a recurring payment that I explicitly cancelled via the merchant app on 2023-12-25.",Subscription Issue
TXN39917631,CUST623557,86.47,2023-12-25,The merchant agreed to refund 86.47 over three weeks ago but I still have not received the money back.,Refund Not Processed
TXN56043169,CUST859782,332.11,2023-12-25,I was double-charged 332.11 for a subscription renewal. The service should only bill once per month.,Duplicate Charge
TXN42215509,CUST813813,165.39,2023-12-25,I attempted to withdraw 165.39 from an ATM. The machine gave an error but the money was deducted from my balance.,ATM Dispute
TXN35772108,CUST227324,58.18,2023-12-25,The item I purchased for 58.18 is completely different from what was advertised. I want a full refund.,Defective Product/Service
TXN17385816,CUST449499,397.42,2023-12-26,A payment of 397.42 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN98562013,CUST813813,152.36,2023-12-26,I noticed an unauthorized debit of 152.36 from my account. I have no knowledge of this transaction and request an immediate reversal.,Unauthorized Transaction
TXN16010551,CUST815894,13.33,2023-12-26,I cancelled my subscription but was still charged 13.33 on 2023-12-26. I have the cancellation confirmation email.,Subscription Issue
TXN64243868,CUST493124,54.87,2023-12-26,An ATM debited 54.87 from my account but the screen showed a transaction failed message and no cash was given.,ATM Dispute
TXN47650461,CUST853305,413.82,2023-12-26,I attempted to withdraw 413.82 from an ATM. The machine gave an error but the money was deducted from my balance.,ATM Dispute
TXN50218573,CUST549186,49.43,2023-12-26,The merchant issued a refund receipt for 49.43 on 2023-12-26 but the amount never appeared in my account.,Refund Not Processed
TXN68920549,CUST362829,1632.93,2023-12-26,"There are two charges of 1,632.93 from the same store on the same day. I only made one purchase and have proof.",Duplicate Charge
TXN15710301,CUST794769,40.04,2023-12-26,I was double-charged 40.04 for a subscription renewal. The service should only bill once per month.,Duplicate Charge
TXN87529276,CUST426084,12.69,2023-12-26,There is an unrecognized charge of 12.69 on my account dated 2023-12-26. I did not approve this and want it disputed.,Unauthorized Transaction
TXN80634031,CUST264686,97.06,2023-12-26,My card was charged 97.06 three times for a single transaction. I need the extra charges refunded.,Duplicate Charge
TXN44681437,CUST409369,1488.01,2023-12-27,"I paid 1,488.01 for an order on 2023-12-27 but never received the product. The merchant is unresponsive to my emails.",Product/Service Not Received
TXN16998989,CUST638289,435.28,2023-12-27,I was double-charged 435.28 for a subscription renewal. The service should only bill once per month.,Duplicate Charge
TXN58687226,CUST495833,2838.09,2023-12-27,"The merchant charged 2,838.09 but applied the wrong exchange rate for my international purchase.",Wrong Amount
TXN71128345,CUST133104,7.68,2023-12-27,I received an alert about a 7.68 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN50523810,CUST822131,465.73,2023-12-27,My account was debited 465.73 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
TXN14309791,CUST424500,11112.79,2023-12-27,"The item I ordered for 11,112.79 was described as new but arrived clearly used and in poor condition.",Defective Product/Service
TXN32179123,CUST525942,1521.0,2023-12-27,"My account shows two identical charges of 1,521.00 from the same vendor. Only one transaction should have gone through.",Duplicate Charge
TXN82588295,CUST614084,1900.81,2023-12-27,"I was charged 1,900.81 for a product that the merchant claims was shipped but I never received. No proof of delivery exists.",Product/Service Not Received
TXN54361087,CUST391773,6365.99,2023-12-27,"The transaction of 6,365.99 includes unauthorized tips or fees that I did not agree to pay.",Wrong Amount
TXN57996213,CUST581141,3221.44,2023-12-27,"I found a fraudulent charge of 3,221.44 on my account from a merchant I have never heard of. Please investigate and refund.",Unauthorized Transaction
TXN96029287,CUST563516,26.88,2023-12-27,I was billed 26.88 for a digital download that I never received the link for. The merchant website is now offline.,Product/Service Not Received
TXN20376041,CUST448048,7.08,2023-12-27,A payment of 7.08 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN29187751,CUST925618,242.17,2023-12-27,I did not authorize a charge of 242.17 on 2023-12-27. I have never used this merchant before and suspect my card was compromised.,Unauthorized Transaction
TXN38360401,CUST685196,1589.12,2023-12-27,"I paid 1,589.12 for a product that arrived damaged and unusable. The merchant is not responding to my return request.",Defective Product/Service
TXN43425940,CUST127824,161.68,2023-12-28,I returned a product worth 161.68 on 2023-12-28 but the refund has not been credited to my account yet.,Refund Not Processed
TXN17081068,CUST857997,44.2,2023-12-28,I received an alert about a 44.20 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN30272906,CUST741390,117.88,2023-12-28,The product costing 117.88 arrived with missing parts and the merchant wants me to pay extra for replacements.,Defective Product/Service
TXN38980287,CUST575458,117.44,2023-12-28,I was billed 117.44 for a digital download that I never received the link for. The merchant website is now offline.,Product/Service Not Received
TXN84783988,CUST508396,183.74,2023-12-28,There is a fraudulent transaction of 183.74 on my account. I did not make this purchase and my card was in my possession the entire time.,Unauthorized Transaction
TXN53429874,CUST271339,1482.0,2023-12-28,"The merchant charged 1,482.00 but applied the wrong exchange rate for my international purchase.",Wrong Amount
TXN34207075,CUST640310,19.97,2023-12-29,I was charged 19.97 twice for the same purchase at the same merchant on 2023-12-29. Please reverse the duplicate charge.,Duplicate Charge
TXN46562845,CUST480211,195.43,2023-12-29,I placed an order worth 195.43 on 2023-12-29 and the merchant confirmed it but nothing has been delivered so far.,Product/Service Not Received
TXN25217605,CUST261771,24.28,2023-12-29,I paid 24.28 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN92264795,CUST525750,411.69,2023-12-29,A subscription I never signed up for is charging my account 411.69 every month. I need all charges reversed.,Subscription Issue
TXN42264248,CUST432427,1746.96,2023-12-29,"I was billed 1,746.96 for additional hotel charges that I did not incur or authorize during my stay.",Merchant Billing Error
TXN89486506,CUST749641,3307.23,2023-12-29,"There is an unrecognized charge of 3,307.23 on my account dated 2023-12-29. I did not approve this and want it disputed.",Unauthorized Transaction
TXN67835495,CUST773971,689.72,2023-12-29,My card was charged 689.72 three times for a single transaction. I need the extra charges refunded.,Duplicate Charge
TXN55807059,CUST841948,399.49,2023-12-29,I was charged 399.49 but the agreed price was much lower. The merchant overcharged me and I have the original receipt.,Wrong Amount
TXN22393623,CUST454992,439.52,2023-12-29,My account was debited 439.52 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
TXN96966499,CUST563711,158.69,2023-12-29,I was charged 158.69 twice for the same purchase at the same merchant on 2023-12-29. Please reverse the duplicate charge.,Duplicate Charge
TXN17269346,CUST684041,156.27,2023-12-29,I have a written confirmation from the merchant that 156.27 would be refunded but my account still shows the charge.,Refund Not Processed
TXN50041940,CUST734356,47.34,2023-12-29,I paid 47.34 for an online purchase but the package was never delivered. The tracking shows it was lost in transit.,Product/Service Not Received
TXN62704135,CUST921968,25.79,2023-12-29,A merchant processed my payment of 25.79 multiple times due to a system error. I need all duplicate charges reversed.,Duplicate Charge
TXN44329893,CUST219971,200.59,2023-12-29,I was charged 200.59 for a hotel reservation that I cancelled within the free cancellation window.,Merchant Billing Error
TXN73997799,CUST299448,110.35,2023-12-29,I returned a product worth 110.35 on 2023-12-29 but the refund has not been credited to my account yet.,Refund Not Processed
TXN48168910,CUST955015,409.96,2023-12-30,I was charged 409.96 for a late fee that is not justified as I made my payment on time.,Merchant Billing Error
TXN95765571,CUST692447,75.72,2023-12-30,A payment of 75.72 was processed on my account that I have no recollection of authorizing. Please block further transactions.,Unauthorized Transaction
TXN96969029,CUST872840,5020.88,2023-12-30,"I see a suspicious charge of 5,020.88 that I did not initiate. I was in a different city when this transaction occurred.",Unauthorized Transaction
TXN64326753,CUST805200,300.39,2023-12-30,The merchant charged 300.39 as a restocking fee which was never disclosed at the time of purchase.,Merchant Billing Error
TXN17580576,CUST355123,7.3,2023-12-30,I received an alert about a 7.30 charge that I never made. I believe my card number was skimmed at a gas station.,Unauthorized Transaction
TXN18934597,CUST793300,378.1,2023-12-30,I found a fraudulent charge of 378.10 on my account from a merchant I have never heard of. Please investigate and refund.,Unauthorized Transaction
TXN39976107,CUST226516,155.39,2023-12-30,I returned defective goods worth 155.39 and have the return tracking confirmation but no refund has been issued.,Refund Not Processed
TXN30315379,CUST403528,40.02,2023-12-30,My account was debited 40.02 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
TXN57568885,CUST177649,4579.02,2023-12-30,"I paid 4,579.02 for an order on 2023-12-30 but never received the product. The merchant is unresponsive to my emails.",Product/Service Not Received
TXN19392726,CUST951201,4593.62,2023-12-30,"I made a single purchase of 4,593.62 but was billed twice. The duplicate charge needs to be reversed immediately.",Duplicate Charge
TXN95017478,CUST570646,22.29,2023-12-30,An ATM transaction of 22.29 failed midway but the full amount was deducted from my account.,ATM Dispute
TXN34370043,CUST877493,150.07,2023-12-30,My account was debited 150.07 for goods that were supposed to arrive two weeks ago. I still have not received anything.,Product/Service Not Received
